date,time,TLoad,TAmp,TPlate,T4,VDetector,Elevation,V3,V4,Sky,Hot,Amp,Noise,LOMHz
21.09.2020,14:46:16.111644,22.334,25.733596,22.655424,-274.15,2.206542,11.154451,2.5254,0.834386,0,1,1,0,18485
21.09.2020,14:46:16.607083,22.334,25.742566,22.660155,-274.15,2.208308,11.163077,2.525236,0.836101,0,1,1,0,18485
21.09.2020,14:46:17.098580,22.332,25.743482,22.658663,-274.15,2.208318,11.168056,2.524694,0.833285,0,1,1,0,18485
21.09.2020,14:46:17.611839,22.333,25.74766,22.662593,-274.15,2.206874,11.161919,2.524863,0.834237,0,1,1,0,18485
21.09.2020,14:46:18.105882,22.331,25.748976,22.661809,-274.15,2.2065,11.162507,2.525083,0.83427,0,1,1,0,18485
21.09.2020,14:46:18.606316,22.331,25.755038,22.664044,-274.15,2.207721,11.16363,2.524958,0.833375,0,1,1,0,18485
21.09.2020,14:46:19.105890,22.334,25.756191,22.665439,-274.15,2.207432,11.160743,2.524937,0.833589,0,1,1,0,18485
21.09.2020,14:46:19.597100,22.331,25.760938,22.666928,-274.15,2.205998,11.163579,2.525285,0.836323,0,1,1,0,18485
21.09.2020,14:46:20.097245,22.332,25.764089,22.670814,-274.15,2.206696,11.168074,2.525259,0.835117,0,1,1,0,18485
21.09.2020,14:46:20.596943,22.332,25.766639,22.669391,-274.15,2.205871,11.165947,2.524875,0.837384,0,1,1,0,18485
21.09.2020,14:46:21.097203,22.332,25.771575,22.67473,-274.15,2.206098,11.161919,2.525329,0.835989,0,1,1,0,18485
21.09.2020,14:46:21.612581,22.334,25.775513,22.676847,-274.15,2.206969,11.156802,2.524878,0.835904,0,1,1,0,18485
21.09.2020,14:46:22.096835,22.336,25.780217,22.677867,-274.15,2.20794,11.161919,2.525023,0.838386,0,1,1,0,18485
21.09.2020,14:46:22.612371,22.333,25.785433,22.682807,-274.15,2.206769,11.164581,2.524997,0.838371,0,1,1,0,18485
21.09.2020,14:46:23.098290,22.334,25.786824,22.680253,-274.15,2.206463,11.156819,2.525046,0.834585,0,1,1,0,18485
21.09.2020,14:46:23.611894,22.332,25.787807,22.682122,-274.15,2.206155,11.161504,2.52485,0.834014,0,1,1,0,18485
21.09.2020,14:46:24.097466,22.331,25.790829,22.684426,-274.15,2.205364,11.156439,2.524896,0.837506,0,1,1,0,18485
21.09.2020,14:46:24.598889,22.332,25.797334,22.684545,-274.15,2.206856,11.16083,2.524882,0.837823,0,1,1,0,18485
21.09.2020,14:46:25.112334,22.329,25.793344,22.68565,-274.15,2.205831,11.166898,2.52526,0.836226,0,1,1,0,18485
21.09.2020,14:46:25.599178,22.33,25.800268,22.687849,-274.15,2.20641,11.16548,2.525086,0.838963,0,1,1,0,18485
21.09.2020,14:46:26.098679,22.334,25.806256,22.689985,-274.15,2.205873,11.166397,2.52501,0.83212,0,1,1,0,18485
21.09.2020,14:46:26.612433,22.332,25.807668,22.689612,-274.15,2.206793,11.156145,2.525355,0.831982,0,1,1,0,18485
21.09.2020,14:46:27.098441,22.331,25.808183,22.690713,-274.15,2.205921,11.166016,2.525156,0.836659,0,1,1,0,18485
21.09.2020,14:46:27.612777,22.331,25.813745,22.694437,-274.15,2.205366,11.168195,2.525238,0.83248,0,1,1,0,18485
21.09.2020,14:46:28.097463,22.331,25.815375,22.695905,-274.15,2.205718,11.169387,2.524966,0.835741,0,1,1,0,18485
21.09.2020,14:46:28.611196,22.33,25.818096,22.695302,-274.15,2.205832,11.153206,2.525328,0.835063,0,1,1,0,18485
21.09.2020,14:46:29.097434,22.328,25.823833,22.699651,-274.15,2.206786,11.155246,2.525114,0.834182,0,1,1,0,18485
21.09.2020,14:46:29.612786,22.33,25.8278,22.70168,-274.15,2.205305,11.167728,2.525086,0.83595,0,1,1,0,18485
21.09.2020,14:46:30.105820,22.333,25.829015,22.702785,-274.15,2.206779,11.164668,2.525051,0.834491,0,1,1,0,18485
21.09.2020,14:46:30.607121,22.33,25.831708,22.705457,-274.15,2.205348,11.16465,2.524816,0.830318,0,1,1,0,18485
21.09.2020,14:46:31.098248,22.338,25.840411,22.706567,-274.15,2.205889,11.162126,2.525316,0.835079,0,1,1,0,18485
21.09.2020,14:46:31.596780,22.331,25.83931,22.70555,-274.15,2.205434,11.166206,2.525288,0.838082,0,1,1,0,18485
21.09.2020,14:46:32.111099,22.336,25.846753,22.709782,-274.15,2.204986,11.166639,2.524755,0.837575,0,1,1,0,18485
21.09.2020,14:46:32.607087,22.331,25.845427,22.707749,-274.15,2.205645,11.162835,2.525196,0.833521,0,1,1,0,18485
21.09.2020,14:46:33.098298,22.334,25.850528,22.712336,-274.15,2.206308,11.159032,2.525158,0.840012,0,1,1,0,18485
21.09.2020,14:46:33.612325,22.332,25.848903,22.71115,-274.15,2.205453,11.164962,2.525229,0.83494,0,1,1,0,18485
21.09.2020,14:46:34.098357,22.33,25.85418,22.715431,-274.15,2.204188,11.169215,2.524803,0.835072,0,1,1,0,18485
21.09.2020,14:46:34.606636,22.33,25.854396,22.716475,-274.15,2.205195,11.15962,2.525021,0.835828,0,1,1,0,18485
21.09.2020,14:46:35.098306,22.323,25.853029,22.714404,-274.15,2.205349,11.164564,2.524773,0.832947,0,1,1,0,18485
